entidad,tipo_de_inversion,anio,trimestre,fecha,millones_de_dolares,fn_millones_de_dolares
Aguascalientes,Nuevas inversiones,2011,1,2011-03-01,23.774002999999997,23.774003
Aguascalientes,Reinversión de utilidades,2011,1,2011-03-01,195.80591391999999,195.80591392
Aguascalientes,Cuentas entre compañías,2011,1,2011-03-01,42.790747999999972,42.790747999999965
Aguascalientes,Nuevas inversiones,2011,2,2011-06-01,-21.917768299999995,-21.917768299999995
Aguascalientes,Reinversión de utilidades,2011,2,2011-06-01,36.803480719999996,36.80348072
Aguascalientes,Cuentas entre compañías,2011,2,2011-06-01,-17.770722999999983,-17.770722999999983
Aguascalientes,Nuevas inversiones,2011,3,2011-09-01,2.815118,2.815118
Aguascalientes,Reinversión de utilidades,2011,3,2011-09-01,10.940357000000001,10.940357
Aguascalientes,Cuentas entre compañías,2011,3,2011-09-01,-13.799043999999999,-13.799044
Aguascalientes,Nuevas inversiones,2011,4,2011-12-01,-1.0158032999999995,-1.0158032999999995
Aguascalientes,Reinversión de utilidades,2011,4,2011-12-01,-8.2872789999999998,-8.287279
Aguascalientes,Cuentas entre compañías,2011,4,2011-12-01,-13.333825710000008,-13.333825710000008
Aguascalientes,Nuevas inversiones,2012,1,2012-03-01,22.50800052,22.50800052
Aguascalientes,Reinversión de utilidades,2012,1,2012-03-01,194.93783377000003,194.93783377000003
Aguascalientes,Cuentas entre compañías,2012,1,2012-03-01,-6.4186520399999978,-6.418652039999998
Aguascalientes,Nuevas inversiones,2012,2,2012-06-01,-41.599848000000016,-41.599848000000016
Aguascalientes,Reinversión de utilidades,2012,2,2012-06-01,-0.24135065999999991,-0.2413506599999999
Aguascalientes,Cuentas entre compañías,2012,2,2012-06-01,11.137866999999998,11.137866999999998
Aguascalientes,Nuevas inversiones,2012,3,2012-09-01,46.435128000000006,46.435128000000006
Aguascalientes,Reinversión de utilidades,2012,3,2012-09-01,33.106433000000003,33.106433
Aguascalientes,Cuentas entre compañías,2012,3,2012-09-01,23.844364999999996,23.844365
Aguascalientes,Nuevas inversiones,2012,4,2012-12-01,60.848705520000024,60.84870552000002
Aguascalientes,Reinversión de utilidades,2012,4,2012-12-01,14.547402,14.547402
Aguascalientes,Cuentas entre compañías,2012,4,2012-12-01,-3.8963811599999993,-3.8963811599999993
Aguascalientes,Nuevas inversiones,2013,1,2013-03-01,6.2069679999999998,6.206968
Aguascalientes,Reinversión de utilidades,2013,1,2013-03-01,330.99625229999998,330.9962523
Aguascalientes,Cuentas entre compañías,2013,1,2013-03-01,-252.72954694000001,-252.72954694
Aguascalientes,Nuevas inversiones,2013,2,2013-06-01,96.828120560000002,96.82812056
Aguascalientes,Reinversión de utilidades,2013,2,2013-06-01,16.612750280000004,16.612750280000004
Aguascalientes,Cuentas entre compañías,2013,2,2013-06-01,-140.95668879999999,-140.9566888
Aguascalientes,Nuevas inversiones,2013,3,2013-09-01,0.61724799999999891,0.6172479999999989
Aguascalientes,Reinversión de utilidades,2013,3,2013-09-01,10.774115000000002,10.774115000000002
Aguascalientes,Cuentas entre compañías,2013,3,2013-09-01,63.602092000000006,63.602092000000006
Aguascalientes,Nuevas inversiones,2013,4,2013-12-01,23.332783889999995,23.332783889999995
Aguascalientes,Reinversión de utilidades,2013,4,2013-12-01,35.398120000000006,35.398120000000006
Aguascalientes,Cuentas entre compañías,2013,4,2013-12-01,-121.54233087999999,-121.54233088
Aguascalientes,Nuevas inversiones,2014,1,2014-03-01,21.93251274,21.93251274
Aguascalientes,Reinversión de utilidades,2014,1,2014-03-01,321.3973900499999,321.3973900499999
Aguascalientes,Cuentas entre compañías,2014,1,2014-03-01,158.41151400000007,158.41151400000007
Aguascalientes,Nuevas inversiones,2014,2,2014-06-01,-37.820191999999999,-37.820192
Aguascalientes,Reinversión de utilidades,2014,2,2014-06-01,237.72675150999999,237.72675151
Aguascalientes,Cuentas entre compañías,2014,2,2014-06-01,30.253568109999993,30.253568109999996
Aguascalientes,Nuevas inversiones,2014,3,2014-09-01,7.044969039999998,7.044969039999998
Aguascalientes,Reinversión de utilidades,2014,3,2014-09-01,61.875978999999994,61.875979
Aguascalientes,Cuentas entre compañías,2014,3,2014-09-01,85.729850700000014,85.72985070000001
Aguascalientes,Nuevas inversiones,2014,4,2014-12-01,32.258931190000006,32.258931190000006
Aguascalientes,Reinversión de utilidades,2014,4,2014-12-01,3.8790390000000015,3.8790390000000015
Aguascalientes,Cuentas entre compañías,2014,4,2014-12-01,56.108532580000016,56.108532580000016
Aguascalientes,Nuevas inversiones,2015,1,2015-03-01,46.726738999999995,46.726739
Aguascalientes,Reinversión de utilidades,2015,1,2015-03-01,420.89119364999982,420.8911936499998
Aguascalientes,Cuentas entre compañías,2015,1,2015-03-01,13.151167799999993,13.151167799999993
Aguascalientes,Nuevas inversiones,2015,2,2015-06-01,30.213918459999999,30.21391846
Aguascalientes,Reinversión de utilidades,2015,2,2015-06-01,47.33957839,47.33957839
Aguascalientes,Cuentas entre compañías,2015,2,2015-06-01,43.782636220000015,43.782636220000015
Aguascalientes,Nuevas inversiones,2015,3,2015-09-01,82.151243760000014,82.15124376000001
Aguascalientes,Reinversión de utilidades,2015,3,2015-09-01,17.100392790000001,17.10039279
Aguascalientes,Cuentas entre compañías,2015,3,2015-09-01,-39.725738559999996,-39.72573856
Aguascalientes,Nuevas inversiones,2015,4,2015-12-01,60.954044419999995,60.95404442
Aguascalientes,Reinversión de utilidades,2015,4,2015-12-01,3.1710419399999998,3.17104194
Aguascalientes,Cuentas entre compañías,2015,4,2015-12-01,86.82792456,86.82792456
Aguascalientes,Nuevas inversiones,2016,1,2016-03-01,54.261930340000006,54.261930340000006
Aguascalientes,Reinversión de utilidades,2016,1,2016-03-01,234.04236862000002,234.04236862
Aguascalientes,Cuentas entre compañías,2016,1,2016-03-01,-86.254701549999993,-86.25470154999998
Aguascalientes,Nuevas inversiones,2016,2,2016-06-01,82.148506220000002,82.14850622
